skill_id,skill_name,skill_group,appearance_in_description,appearance_in_skill
733,Messaging,Content,100,4
734,Paid Social Media,Social Media/Digital,3,4
736,Performance Measurement,Strategy/Planning/Management,2,2
738,Social Media Advertising,Social Media/Digital,10,2
739,Adobe Creative Suite,Graphic Design/Visual,51,2
740,Adobe Illustrator,Graphic Design/Visual,5,1
741,Adobe InDesign,Graphic Design/Visual,14,2
742,Brand Design,Graphic Design/Visual,0,1
744,Fine Art,Graphic Design/Visual,0,1
746,Graphics,Graphic Design/Visual,61,3
747,Internal Marketing,Strategy/Planning/Management,7,1
752,Commercial Awareness,Brand,5,1
764,Marketing Metrics,Quantitative/Analytics,3,1
766,Networking Events,Communication,5,2
767,Pay Per Click (PPC),Other,0,2
768,Product Branding,Brand,1,1
770,Data-driven Marketing,Quantitative/Analytics,3,1
775,Media Management,Social Media/Digital,27,4
777,Social Media Management,Social Media/Digital,26,4
781,Business Insights,Quantitative/Analytics,0,2
782,Customer Data,Quantitative/Analytics,11,2
783,Customer Insight,Quantitative/Analytics,14,1
784,Data Mining,Quantitative/Analytics,1,1
788,Pattern Recognition,Quantitative/Analytics,0,1
789,Customer Acquisition,Sales,36,2
792,Face-to-face Marketing,Sales,7,1
793,Hospitality Industry,Brand,1,1
798,Training,Communication,304,19
804,Occupancy,Other,12,1
809,Admissions,Sales,25,1
811,Community Leadership,Strategy/Planning/Management,1,1
812,Discharge Planning,Strategy/Planning/Management,1,1
813,Insurance Policies,Brand,0,1
814,Insurance Verification,Strategy/Planning/Management,3,1
815,Pre-certification,Other,1,1
816,Project Planning,Strategy/Planning/Management,5,2
817,Sales Meetings,Sales,10,2
818,Sales Metrics,Sales,1,1
821,Direct Response Marketing,Sales,1,1
827,Promotional Videos,Graphic Design/Visual,1,1
831,Content Development,Content,11,2
834,Marketing Operations,Strategy/Planning/Management,14,1
835,Online Reputation Management,Brand,1,1
836,Operations Processes,Strategy/Planning/Management,1,1
839,Award Applications,Other,1,1
842,Email Distribution,Communication,3,1
843,Media Distribution,Strategy/Planning/Management,1,1
848,Sales Presentations,Sales,6,4
851,Creativity and Innovation,Content,3,3
863,Mathematics,Quantitative/Analytics,2,1
864,Open Platform Communication (OPC),Communication,0,2
868,Tour Production,Brand,1,1
873,Management,Strategy/Planning/Management,517,73
876,Product Development,Strategy/Planning/Management,20,1
877,Social Media Communications,Communication,1,1
880,Digital Marketing Content,Content,8,1
883,Microsoft Excel,Quantitative/Analytics,15,4
884,Microsoft Office,Quantitative/Analytics,158,10
886,Reporting,Quantitative/Analytics,138,5
889,CAN-SPAM,Other,5,1
892,E-Commerce,Social Media/Digital,14,3
898,Test Automation Tools,Quantitative/Analytics,0,1
899,Ad Hoc Reporting,Quantitative/Analytics,3,1
916,Story,Social Media/Digital,95,1
918,YouTube,Social Media/Digital,27,1
920,Expense Reports,Quantitative/Analytics,14,2
921,Expenses,Strategy/Planning/Management,27,1
922,Lead Qualification,Strategy/Planning/Management,0,2
926,Project Initiation,Strategy/Planning/Management,1,1
933,Graphic Arts,Graphic Design/Visual,1,2
934,Social Services,Sales,4,1
944,Strategic Thinking,Quantitative/Analytics,10,5
947,Grammar,Content,28,2
948,Keyword Research,Quantitative/Analytics,7,3
950,Punctuation,Content,11,1
953,Taglines,Social Media/Digital,2,1
956,Client Services,Sales,12,1
959,Face-to-Face Sales,Sales,1,1
961,Knowledge Acquisition,Quantitative/Analytics,0,1
962,Microsoft Dynamics,Quantitative/Analytics,2,1
973,Relationship Development,Strategy/Planning/Management,2,3
980,Internal Communications,Communication,29,9
982,Journalism,Content,31,1
992,Marketing Event Planning,Strategy/Planning/Management,0,1
995,Qualifying Candidates,Other,1,1
997,Alumni Relations,Communication,3,1
998,Benchmarking,Quantitative/Analytics,4,1
1000,Health Assessment,Other,1,1
1001,Media Planning,Strategy/Planning/Management,6,1
1002,Paid Advertising,Social Media/Digital,11,1
1005,Student Recruiting,Sales,0,2
1006,Audience Measurement,Quantitative/Analytics,0,1
1017,Electronic Resources,Other,2,1
1019,Library Reference,Content,0,1
1020,Library Science,Content,2,1
1021,Library Services,Communication,2,1
1022,Metadata,Quantitative/Analytics,2,1
1024,Public Libraries,Content,2,1
1027,Community Relations,Communication,9,1
1028,Market Assessments,Quantitative/Analytics,1,1
1032,SNF,Other,3,1
1040,Digital Literacy,Social Media/Digital,6,1
1041,Etiquette,Communication,6,8
1055,Solid Professional Standards,Other,0,2
1057,Calendars,Other,50,7
1058,Digital Communication,Communication,24,5
1062,Marketing Leadership,Strategy/Planning/Management,20,5
1064,Web Conferencing,Social Media/Digital,0,5
1107,Customer Retention,Sales,15,1
1110,New Leads,Strategy/Planning/Management,6,1
1121,Timeshare,Other,1,1
1124,Brand Management,Strategy/Planning/Management,15,3
1154,Creativity Skills,Content,2,2
1162,Decisiveness,Other,5,1
1163,Delegation,Other,6,3
1164,Financing,Other,7,1
1169,Project Teams,Communication,3,1
1173,Hootsuite,Social Media/Digital,30,1
