id,City,state_id,state_name,number_of_jobs
1328,Goshen,IN,Indiana,1
1335,Richmond,KY,Kentucky,1
1381,Menlo Park,CA,California,1
1390,Glendale Heights,IL,Illinois,1
1423,Kaysville,UT,Utah,1
1472,Maryville,TN,Tennessee,1
1594,McDonough,GA,Georgia,1
1599,Frankfort,KY,Kentucky,1
1635,Washington,UT,Utah,1
1643,Hamtramck,MI,Michigan,1
1682,Crestview,FL,Florida,1
1692,Eureka,CA,California,1
1868,Athens,OH,Ohio,1
1898,Solon,OH,Ohio,1
1908,Columbus,NE,Nebraska,1
1912,Columbus,MS,Mississippi,1
1913,King of Prussia,PA,Pennsylvania,1
1932,Chantilly,VA,Virginia,1
1945,Jacksonville Beach,FL,Florida,1
1949,Johnston,IA,Iowa,1
1951,Farragut,TN,Tennessee,1
2062,Conway,SC,South Carolina,1
2084,Sanford,ME,Maine,1
2104,Middleton,WI,Wisconsin,1
2243,Hauppauge,NY,New York,1
2244,Albany,CA,California,1
2249,Oregon,OH,Ohio,1
2380,Santa Fe Springs,CA,California,1
2544,Lemont,IL,Illinois,1
2573,El Segundo,CA,California,1
2637,Westchester,IL,Illinois,1
2641,Port Washington,NY,New York,1
2685,Lake Mary,FL,Florida,1
2735,Frankfort,IN,Indiana,1
2745,Mount Pleasant,TX,Texas,1
2753,Washington,IL,Illinois,1
2831,Greenwood Village,CO,Colorado,1
2965,Washington,MO,Missouri,1
2989,Falls Church,VA,Virginia,1
3000,Belmont,NC,North Carolina,1
3001,Washington Court House,OH,Ohio,1
3163,Indiana,PA,Pennsylvania,1
3192,Marshall,MO,Missouri,1
3209,Washington,PA,Pennsylvania,1
3227,Las Vegas,NM,New Mexico,1
3240,Mounds View,MN,Minnesota,1
3251,North Palm Beach,FL,Florida,1
3437,Webster,TX,Texas,1
3472,Archdale,NC,North Carolina,1
3479,Glen Rock,NJ,New Jersey,1
3496,Washington,IN,Indiana,1
3591,Elizabethtown,PA,Pennsylvania,1
3658,Castle Pines,CO,Colorado,1
3660,Brooklyn,OH,Ohio,1
3708,Oregon,WI,Wisconsin,1
3720,Grand Rapids,MN,Minnesota,1
3891,Jefferson,LA,Louisiana,1
4140,Washington,NC,North Carolina,1
4186,Pleasant Grove,AL,Alabama,1
4225,Bohemia,NY,New York,1
4292,Mechanicsburg,PA,Pennsylvania,1
4603,Farmingdale,NY,New York,1
4613,Virginia,MN,Minnesota,1
4674,Trinidad,CO,Colorado,1
4735,Austell,GA,Georgia,1
4740,Dayton,NJ,New Jersey,1
4743,Rhinelander,WI,Wisconsin,1
4748,Hampton,GA,Georgia,1
4791,Basking Ridge,NJ,New Jersey,1
4830,Port Jefferson,NY,New York,1
4905,Chester,IL,Illinois,1
4974,Ojai,CA,California,1
5012,Villanova,PA,Pennsylvania,1
5045,Ashland,VA,Virginia,1
5079,Wayne,PA,Pennsylvania,1
5132,Washington,IA,Iowa,1
5210,Washington,NJ,New Jersey,1
5235,Seminole,OK,Oklahoma,1
5368,Ocean City,MD,Maryland,1
5518,Milford,OH,Ohio,1
5747,Pimmit Hills,VA,Virginia,1
5904,Estherville,IA,Iowa,1
5943,Petoskey,MI,Michigan,1
5968,Mount Arlington,NJ,New Jersey,1
6038,Granville,OH,Ohio,1
6127,Coraopolis,PA,Pennsylvania,1
6184,Columbus,WI,Wisconsin,1
6256,Waimanalo,HI,Hawaii,1
6508,Hampton,MD,Maryland,1
7036,Edenton,NC,North Carolina,1
7169,Hampton,IA,Iowa,1
7197,Saukville,WI,Wisconsin,1
7351,Columbus,MN,Minnesota,1
7506,Rosemont,IL,Illinois,1
7602,Oregon,IL,Illinois,1
7754,Washington,GA,Georgia,1
7973,Campo,CA,California,1
7986,Columbus,TX,Texas,1
8112,Sheridan,IN,Indiana,1
8601,Ingalls Park,IL,Illinois,1
8957,Columbus,KS,Kansas,1
9025,Hampton,SC,South Carolina,1
9114,Albany,IN,Indiana,1
9313,Albany,MN,Minnesota,1
10139,Owings,MD,Maryland,1
10471,Albany,KY,Kentucky,1
10770,Kealakekua,HI,Hawaii,1
10917,Columbus,MT,Montana,1
11364,Hampton,IL,Illinois,1
11437,Albany,MO,Missouri,1
12172,Albany,TX,Texas,1
12815,Albany,LA,Louisiana,1
12846,Hampton,AR,Arkansas,1
12983,Hampton,TN,Tennessee,1
13155,Virginia,IL,Illinois,1
13985,Washington,WV,West Virginia,1
14163,Thompson,ND,North Dakota,1
14443,Columbus,NC,North Carolina,1
14490,Rapids,NY,New York,1
14507,Woods Hole,MA,Massachusetts,1
14556,Vega,TX,Texas,1
14674,Columbus,NM,New Mexico,1
14931,Washington,KS,Kansas,1
15077,Albany,WI,Wisconsin,1
15375,Grand Rapids,OH,Ohio,1
15940,Rand,WV,West Virginia,1
15948,Oregon,MO,Missouri,1
16061,Albany,OH,Ohio,1
16486,Washington,LA,Louisiana,1
16634,North,SC,South Carolina,1
16972,Albany,IL,Illinois,1
17393,Virgin,UT,Utah,1
17787,Washington,OK,Oklahoma,1
17809,Alba,MO,Missouri,1
18088,Foxfield,CO,Colorado,1
18945,Ohio,IL,Illinois,1
18999,Hampton,MN,Minnesota,1
19008,Carlisle,SC,South Carolina,1
19583,Alba,TX,Texas,1
19899,Hampton,FL,Florida,1
19909,Gas,KS,Kansas,1
20752,Hampton,NE,Nebraska,1
21129,Alba,MI,Michigan,1
25418,Columbus,KY,Kentucky,1
25836,Washington,NE,Nebraska,1
26257,Alba,PA,Pennsylvania,1
26363,Mill Spring,MO,Missouri,1
27093,Columbus,IL,Illinois,1
27198,Washington,CA,California,1
27256,Washington,AR,Arkansas,1
28474,Columbus,ND,North Dakota,1
28575,Washington,VA,Virginia,1
28591,Albany,OK,Oklahoma,1
29045,Virginia,NE,Nebraska,1
29906,Albany,WY,Wyoming,1
