State,industry_group,industry_count
WI,"Construction and Real Estate",2
WI,"Food and Beverage",5
WI,"Government and Public Services",1
WI,"Health and Medical",1
WI,"Human Resources and Staffing",4
WI,Manufacturing,1
WI,"Retail and Wholesale",1
WI,"Technology and Telecommunications",1
WV,"Architecture and Design",1
WV,Manufacturing,1
