id,salary_type,min_salary,max_salary
3668159653,yr,55000.00,60000.00
3668161959,yr,45000.00,60000.00
3668165278,yr,45000.00,60000.00
3668166122,yr,45000.00,60000.00
3668166913,yr,45000.00,55000.00
3668168114,yr,45000.00,60000.00
3668168510,yr,45000.00,60000.00
3668168690,yr,35000.00,45000.00
3668170434,yr,45000.00,60000.00
3668172955,yr,65500.00,70000.00
3668173835,hr,19.34,29.01
3668175518,yr,37000.00,47000.00
3668175766,hr,19.00,23.00
3668183785,yr,40000.00,58000.00
3668510937,yr,57000.00,57000.00
3668517004,yr,90000.00,130000.00
3668519401,hr,17.95,17.95
3668553407,yr,65000.00,80000.00
3668558359,yr,65000.00,85000.00
3668577619,hr,23.72,23.72
3668579922,hr,23.00,23.00
3668580870,yr,72144.00,103389.00
3668582831,hr,15.00,25.00
3668583809,hr,18.00,23.70
3668584604,hr,22.03,28.79
3668586010,hr,20.00,20.00
3668586283,hr,20.50,26.58
3668587232,hr,18.00,23.70
3668589067,hr,22.03,28.79
3668589198,hr,18.00,23.70
3668590036,hr,22.03,28.79
3668590436,hr,24.00,27.00
3668591531,hr,18.00,50.00
3668603820,yr,50000.00,60000.00
3668608722,hr,19.00,24.00
3668609660,hr,50.00,70.00
3668613187,yr,40000.00,70000.00
3668614081,yr,50000.00,70000.00
3668614115,yr,55000.00,65000.00
3668614842,yr,60000.00,100000.00
3668615319,hr,20.00,20.80
3668694232,yr,42870.00,53105.00
3668819292,hr,13.00,15.00
3668838174,hr,17.00,20.00
3668850490,hr,15.00,16.00
3668876342,yr,38196.00,38196.00
3668892127,yr,46000.00,49000.00
3669108173,hr,18.00,25.00
3669109894,yr,50000.00,70000.00
3669113925,yr,35000.00,50000.00
3669146963,yr,75000.00,125000.00
3669162444,hr,29.14,38.52
3669173334,hr,24.00,24.00
3669178788,yr,55000.00,58000.00
3669306261,hr,18.00,23.00
3669317337,hr,19.00,24.85
3669320435,hr,20.50,26.58
3669323004,hr,20.50,26.58
3669326208,yr,100000.00,120000.00
3669326505,yr,60000.00,70000.00
3669331460,hr,35.00,40.00
3669331742,yr,44900.00,61433.00
3669334299,yr,53000.00,58000.00
3669337559,yr,55000.00,55000.00
3669337578,yr,55000.00,61046.00
3669338186,yr,60000.00,65000.00
3669338566,yr,70000.00,75000.00
3669341009,yr,35000.00,40000.00
3669341369,yr,60000.00,65000.00
3669347711,hr,27.47,30.12
3669351961,yr,50000.00,60000.00
3669353793,hr,22.00,24.00
3669375945,yr,50000.00,60000.00
3669377660,hr,20.00,20.00
3669378623,hr,21.57,21.57
3669383436,yr,45000.00,50000.00
3669383494,yr,50000.00,60000.00
3669384244,yr,47000.00,53000.00
3669387114,yr,60000.00,170000.00
3669387140,yr,50000.00,50000.00
3669387143,yr,75000.00,155000.00
3669600977,yr,74900.00,124800.00
3669606057,yr,50000.00,60000.00
3669607038,yr,50000.00,50000.00
3669608320,yr,60000.00,80000.00
3669608401,yr,45971.00,47900.00
3669608643,yr,54500.00,81500.00
3669611057,hr,25.50,25.50
3669612398,yr,51786.00,77678.00
3669619225,yr,95000.00,100000.00
3669626140,yr,50000.00,50000.00
